Date,Portfolio,SPX_buyhold
1990-01-02,100.0,100.0
1990-01-03,100.01556498627913,99.74144605925412
1990-01-04,100.03113239524623,98.88237399249742
1990-01-05,100.0467022272784,97.91765403999655
1990-01-08,100.0622744827528,98.35970033739112
1990-01-09,100.07784916204663,97.20036496542352
1990-01-10,100.09342626553715,96.55814595935868
1990-01-11,100.1090057936017,96.89732725781633
1990-01-12,100.12458774661764,94.50637781659115
1990-01-15,100.14017212496242,93.69178951669574
1990-01-16,100.15575892901356,94.73435394010109
1990-01-17,100.17134815914861,93.80299469164343
1990-01-18,100.1869398157452,94.02263063914258
1990-01-19,100.20253389918099,94.28952475589928
1990-01-22,100.21813040983373,91.85131714541656
1990-01-23,100.23372934808124,92.19327284627047
1990-01-24,100.24933071430131,91.81795644137335
1990-01-25,100.2649345088719,90.65583818259847
1990-01-26,100.28054073217099,90.57799371169398
1990-01-29,100.29614938457658,90.41119019147791
1990-01-30,100.3117604664668,89.7939917134455
1990-01-31,100.32737397821975,91.48988972132275
1990-02-01,100.34298992021367,91.40927084802199
1990-02-02,100.35860829282682,92.001448798022
1990-02-05,100.37422909643752,92.2600027387679
1990-02-06,100.38985233142417,91.65114443674626
1990-02-07,100.4054779981652,92.78823368307773
1990-02-08,100.42110609703909,92.56859773557859
1990-02-09,100.43673662842446,92.75209009222726
1990-02-12,100.45236959269988,91.76790690089751
1990-02-13,100.46800499024404,92.02924372845067
1990-02-14,100.4836428214357,92.30448650562916
1990-02-15,100.4992830866536,93.10517734031023
1990-02-16,100.51492578627668,92.50187632749216
1990-02-20,100.53057092068379,91.18685201371555
1990-02-21,100.54621849025392,91.097892964404
1990-02-22,100.5618684953661,90.55019878126527
1990-02-23,100.57752093639945,90.11926706227779
1990-02-26,100.59317581373308,91.37591014397876
1990-02-27,100.60883312774622,91.81795644137331
1990-02-28,100.62449287881815,92.27112580158592
1990-03-01,100.64015506732818,92.50743361669566
1990-03-02,100.65581969365569,93.28588681015161
1990-03-05,100.67148675818014,92.78545079627044
1990-03-06,100.68715626128105,93.95034345744159
1990-03-07,100.70282820333796,93.67789205148136
1990-03-08,100.7185025847305,94.60090263951722
1990-03-09,100.73417940583835,93.95034345744159
1990-03-12,100.74985866704127,94.15608193972639
1990-03-13,100.76554036871903,93.41377233712093
1990-03-14,100.78122451125151,93.6556459258452
1990-03-15,100.79691109501863,93.98926993509933
1990-03-16,100.81260012040035,95.0568548865371
1990-03-19,100.8282915877767,95.50724135994246
1990-03-20,100.84398549752783,94.962330063611
1990-03-21,100.85968185003384,94.45355387371902
1990-03-22,100.87538064567498,93.32758769020563
1990-03-23,100.8910818848315,93.75295363557858
1990-03-26,100.90678556788373,93.86694169733354
1990-03-27,100.92249169521207,94.94286682478213
1990-03-28,100.938200267197,95.0818754145695
1990-03-29,100.95391128421898,94.7454770029191
1990-03-30,100.96962474665861,94.50916070339835
1990-04-02,100.9853406548965,94.16442211573717
1990-04-03,101.00105900931338,95.53782766158938
1990-04-04,101.01677981028996,94.82887876302713
1990-04-05,101.03250305820704,94.72879665089751
1990-04-06,101.0482287534455,94.5480786966451
1990-04-09,101.06395689638627,94.90672323393164
1990-04-10,101.07968748741034,95.10133865339837
1990-04-11,101.09542052689875,95.05963777334435
1990-04-12,101.1111560152326,95.73243459664512
1990-04-16,101.12689395279304,95.84363977159282
1990-04-17,101.14263433996129,95.82695941957121
1990-04-18,101.15837717711864,94.72601376409023
1990-04-19,101.17412246464646,93.99482722430282
1990-04-20,101.18987020292612,93.16911586158933
1990-04-23,101.20562039233907,92.0375839044614
1990-04-24,101.22137303326684,91.84575137180192
1990-04-25,101.23712812609101,92.31004379483262
1990-04-26,101.25288567119321,92.55748315717143
1990-04-27,101.26864566895514,91.49822989733345
1990-04-30,101.28440811975858,91.96807960956768
1990-05-01,101.30017302398532,92.37120791371548
1990-05-02,101.31594038201723,92.99118927855517
1990-05-03,101.33171019423625,93.29422698616234
1990-05-04,101.34748246102438,94.07823746882181
1990-05-07,101.36325718276369,94.67318982121809
1990-05-08,101.37903435983627,95.08465830137669
1990-05-09,101.3948139926243,95.32096611648643
1990-05-10,101.41059608151,95.58786871765413
1990-05-11,101.42638062687566,97.86204721031707
1990-05-14,101.44216762910365,98.62659445414768
1990-05-15,101.45795708857636,98.4959260403711
1990-05-16,101.4737490056763,98.4180815694666
1990-05-17,101.48954338078595,98.54874998324318
1990-05-18,101.50534021428793,98.59601663691173
